epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1185.68,0.84487,0.67885,1.26609,0.87971,0.74824,0.83699,0.68473,0.71181,0.47845,1.11626,0.00677543,0.00677543,0.00677543
60,67.9179,0.8005,0.63251,1.23412,0.88198,0.73868,0.83613,0.68977,0.70017,0.47497,1.10954,0.00667789,0.00667789,0.00667789
61,134.103,0.79647,0.63006,1.23407,0.87301,0.74585,0.83343,0.67381,0.72902,0.48644,1.12428,0.00657963,0.00657963,0.00657963
62,65.8175,0.71372,0.53615,1.1787,0.8786,0.75066,0.83706,0.69051,0.68938,0.47314,1.10365,0.00648071,0.00648071,0.00648071
63,111.38,0.7275,0.55292,1.18876,0.86933,0.72823,0.82807,0.66878,0.72901,0.48778,1.13286,0.00638115,0.00638115,0.00638115
64,155.894,0.80225,0.61937,1.2389,0.86472,0.72784,0.83115,0.66947,0.72982,0.48343,1.13731,0.00628101,0.00628101,0.00628101
65,201.696,0.78925,0.60931,1.2334,0.88688,0.7115,0.83498,0.67491,0.72805,0.474,1.12688,0.00618034,0.00618034,0.00618034
66,265.346,0.78867,0.60583,1.22724,0.85607,0.75492,0.83975,0.68266,0.68862,0.4595,1.11391,0.00607916,0.00607916,0.00607916
67,319.723,0.78091,0.60126,1.22579,0.85351,0.76603,0.8517,0.69208,0.7031,0.46147,1.11454,0.00597754,0.00597754,0.00597754
68,56.2915,0.6996,0.51935,1.16867,0.86876,0.7676,0.84595,0.69133,0.68349,0.46165,1.11157,0.00587551,0.00587551,0.00587551
69,96.105,0.69282,0.51983,1.1671,0.85372,0.77084,0.83947,0.67887,0.71445,0.46438,1.12788,0.00577311,0.00577311,0.00577311
70,140.885,0.73481,0.54872,1.19335,0.90131,0.73795,0.84175,0.67344,0.72195,0.4708,1.14104,0.0056704,0.0056704,0.0056704
71,187.785,0.72777,0.54021,1.19141,0.87848,0.74699,0.83388,0.67307,0.71898,0.4746,1.13507,0.00556742,0.00556742,0.00556742
72,243.352,0.72669,0.5364,1.18883,0.88651,0.73845,0.84097,0.68304,0.69276,0.46385,1.12474,0.00546421,0.00546421,0.00546421
73,311.098,0.73793,0.55364,1.19659,0.88389,0.7417,0.84394,0.69405,0.69125,0.45873,1.11048,0.00536081,0.00536081,0.00536081
74,369.003,0.79566,0.61315,1.23208,0.89464,0.75228,0.84231,0.68571,0.69323,0.45859,1.10712,0.00525728,0.00525728,0.00525728
75,419.768,0.78036,0.59849,1.22453,0.86282,0.74878,0.8389,0.6779,0.69848,0.46673,1.11963,0.00515366,0.00515366,0.00515366
76,493.428,0.79754,0.62408,1.23453,0.85968,0.75798,0.84086,0.68743,0.68781,0.46788,1.11407,0.00505,0.00505,0.00505
77,556.169,0.79146,0.60505,1.23377,0.87802,0.7528,0.84631,0.69135,0.69752,0.45149,1.10653,0.00494634,0.00494634,0.00494634
78,604.317,0.79704,0.60878,1.23503,0.87696,0.74023,0.84536,0.69135,0.68464,0.45713,1.10072,0.00484272,0.00484272,0.00484272
79,660.391,0.78913,0.61289,1.23127,0.87599,0.75003,0.84687,0.69772,0.67933,0.44787,1.08877,0.00473919,0.00473919,0.00473919
80,720.078,0.79069,0.61276,1.22713,0.88886,0.73624,0.85335,0.7008,0.68391,0.44132,1.09849,0.00463579,0.00463579,0.00463579
81,792.902,0.7878,0.60348,1.23255,0.89267,0.75767,0.86618,0.71243,0.67167,0.43719,1.08915,0.00453258,0.00453258,0.00453258
82,855.06,0.78289,0.59631,1.22155,0.89726,0.75212,0.86307,0.70852,0.68643,0.44772,1.09634,0.0044296,0.0044296,0.0044296
83,76.2757,0.67979,0.4982,1.1552,0.89217,0.75296,0.85371,0.70767,0.66525,0.4348,1.07995,0.00432689,0.00432689,0.00432689
84,121.489,0.67686,0.49271,1.15588,0.87383,0.75274,0.85209,0.70029,0.6785,0.45057,1.0936,0.00422449,0.00422449,0.00422449
85,59.6339,0.59499,0.42124,1.10476,0.90668,0.72377,0.84851,0.69908,0.66746,0.45379,1.09285,0.00412246,0.00412246,0.00412246
86,41.7229,0.54674,0.38564,1.07756,0.85521,0.76301,0.84632,0.69704,0.66965,0.46224,1.10074,0.00402084,0.00402084,0.00402084
87,76.7217,0.63457,0.4544,1.13033,0.86,0.75722,0.84618,0.69173,0.68729,0.46312,1.11288,0.00391966,0.00391966,0.00391966
88,112.415,0.70376,0.5045,1.17206,0.88966,0.74613,0.84776,0.68658,0.69021,0.45099,1.11367,0.00381899,0.00381899,0.00381899
89,149.877,0.6891,0.49993,1.16538,0.87401,0.74761,0.84277,0.68527,0.69747,0.45455,1.12067,0.00371885,0.00371885,0.00371885
90,50.2445,0.5347,0.37574,1.06699,0.8731,0.74719,0.84637,0.6877,0.68692,0.46295,1.12045,0.00361929,0.00361929,0.00361929
91,94.9878,0.58075,0.40783,1.09708,0.87357,0.7567,0.84439,0.68839,0.68287,0.45307,1.12363,0.00352037,0.00352037,0.00352037
92,61.3662,0.47884,0.33683,1.03596,0.88046,0.75273,0.84555,0.69149,0.68374,0.46067,1.1294,0.00342211,0.00342211,0.00342211
93,109.943,0.55346,0.3861,1.08065,0.86406,0.74713,0.84414,0.68618,0.6911,0.46119,1.13789,0.00332457,0.00332457,0.00332457
94,151.232,0.65311,0.45638,1.14122,0.87034,0.76081,0.84987,0.6865,0.69388,0.45381,1.13286,0.00322778,0.00322778,0.00322778
95,199.648,0.66618,0.47175,1.15259,0.87475,0.76067,0.85114,0.68618,0.69543,0.44728,1.12983,0.0031318,0.0031318,0.0031318
96,60.8543,0.46352,0.32687,1.02641,0.91266,0.73642,0.85555,0.69275,0.68658,0.45005,1.13223,0.00303665,0.00303665,0.00303665
97,55.2582,0.41933,0.30088,1.00929,0.9114,0.73699,0.85606,0.69358,0.6865,0.45367,1.13515,0.000139032,0.000139032,0.000139032
98,92.9996,0.502,0.34225,1.05229,0.91258,0.73628,0.85401,0.69222,0.68568,0.45531,1.13723,0.000121968,0.000121968,0.000121968
99,53.7605,0.41012,0.29575,1.00527,0.91246,0.73642,0.85375,0.69087,0.68574,0.45788,1.13903,0.000109768,0.000109768,0.000109768
100,101.295,0.49673,0.33895,1.04967,0.91324,0.73698,0.85309,0.69062,0.68597,0.45683,1.1412,0.000102443,0.000102443,0.000102443
